id,name,aliases,category,overview,symptoms_keywords,differential_points,treatment_title,first_line_treatment,severity_flag,referral_flag,pros,cons,cost,insurance_flag,update_date,reviewed_by
ecz_atopic,アトピー性皮膚炎,アトピー;atopic dermatitis,湿疹/皮膚炎,慢性的なかゆみと湿疹を反復する炎症性疾患,かゆみ;湿疹;乾燥;慢性;小児;増悪寛解,感染合併(とびひ等)確認;顔/体の分布;家族歴/喘息鼻炎,外用ステロイドと保湿,保湿+外用ステロイド(部位/重症度で調整)+悪化因子回避,軽症,経過観察,エビデンスが多く標準治療が確立,継続管理が必要で再発しやすい,保険適用,保険,2026-02-22 00:00:00,医師レビュー待ち
ecz_contact,接触皮膚炎,かぶれ;contact dermatitis,湿疹/皮膚炎,刺激物/アレルゲン接触で生じる皮膚炎,赤み;かゆみ;水疱;境界明瞭;接触部位,原因物質の特定;感染/湿疹の併発;職業/化粧品/金属,原因除去と外用治療,原因回避+外用ステロイド+保湿,軽症,経過観察,原因が明確なら改善が早い,原因特定に時間がかかることがある,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_seb,脂漏性皮膚炎,しろうせいひふえん;seborrheic dermatitis,湿疹/皮膚炎,皮脂の多い部位に起こる紅斑と落屑,フケ;赤み;かゆみ;頭皮;眉間;鼻周囲,乾癬との鑑別;真菌関与(マラセチア);ステロイド長期乱用に注意,抗真菌薬と外用薬,抗真菌外用(部位)+短期ステロイド外用+洗浄/保湿,軽症,経過観察,再燃してもコントロールしやすい,再発しやすく維持療法が必要,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_hand,手湿疹,主婦湿疹;hand eczema,湿疹/皮膚炎,水仕事や刺激で手に慢性湿疹を反復,かゆみ;ひび割れ;赤み;手指;水仕事,接触皮膚炎/汗疱との鑑別;刺激物(洗剤)評価;二次感染注意,保湿と外用薬,刺激回避(手袋)+保湿+外用ステロイド,中等症,経過観察,生活指導で再発予防できる,環境因子で慢性化しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_nummular,貨幣状湿疹,コイン湿疹;nummular eczema,湿疹/皮膚炎,円形の湿疹局面が多発する,かゆみ;円形;紅斑;滲出;乾燥,白癬(ぜにたむし)除外が重要;掻破による悪化,外用ステロイド,保湿+外用ステロイド+必要時抗ヒスタミン,中等症,経過観察,治療反応が比較的良い,再発しやすく乾燥対策が必須,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_autoeczematization,自家感作性皮膚炎,じかかんさせいひふえん;id reaction,湿疹/皮膚炎,強い局所炎症を契機に全身へ湿疹が広がる,かゆみ;多発湿疹;全身;急性増悪,原発巣(白癬/湿疹/感染)の同定が鍵;薬疹鑑別,原発巣治療+抗炎症,原発巣治療+外用ステロイド+抗ヒスタミン,中等症,経過観察,原因を潰せば改善しやすい,原発巣が残ると再燃,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_asteatotic,皮脂欠乏性湿疹,乾燥性湿疹;asteatotic eczema,湿疹/皮膚炎,乾燥を背景に生じる皮膚炎,乾燥;かゆみ;粉ふき;冬;高齢,白癬/疥癬/薬疹など鑑別;保湿不足の評価,保湿中心治療,保湿(入浴後すぐ)+必要時弱〜中等度ステロイド外用,軽症,経過観察,安全性が高くセルフケアがしやすい,重症例は外用薬が必要,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_dyshidrotic,汗疱,異汗性湿疹;dyshidrotic eczema,湿疹/皮膚炎,手足に小水疱が出て再発を繰り返す,小水疱;かゆみ;手のひら;足底;季節性,白癬(足)との鑑別;接触皮膚炎/掌蹠膿疱症鑑別,外用薬と保湿,保湿+外用ステロイド+刺激回避,軽症,経過観察,多くは対症療法でコントロール可能,再発しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
ecz_infant,乳児湿疹,赤ちゃん湿疹;infantile eczema,湿疹/皮膚炎,乳児期に多い湿疹の総称,赤み;かさつき;かゆみ;顔;乳児,アトピーへの移行/家族歴;感染(とびひ)注意,保湿と外用薬,保湿+短期外用ステロイド+スキンケア指導,軽症,経過観察,多くは改善しやすい,掻破や感染で悪化しうる,保険適用,保険,2026-02-22,医師レビュー待ち
urticaria_acute,蕁麻疹,じんましん;urticaria,蕁麻疹/そう痒,一過性の膨疹とかゆみが出没する,膨疹;かゆみ;移動;短時間,アナフィラキシー徴候確認;薬剤/食物/感染の評価,抗ヒスタミン薬,第二世代抗ヒスタミン内服(定時),軽症,経過観察,即効性が期待できる,原因特定できないことが多い,保険適用,保険,2026-02-22,医師レビュー待ち
urticaria_chronic,慢性蕁麻疹,慢性じんましん;chronic urticaria,蕁麻疹/そう痒,6週以上続く蕁麻疹,膨疹;かゆみ;慢性;再燃,誘因(NSAIDs等)確認;自己免疫型の可能性;治療段階付け,内服治療,第二世代抗ヒスタミン(増量含む)±追加薬,中等症,経過観察,コントロールでQOL改善,長期化し通院が必要,保険適用,保険,2026-02-22,医師レビュー待ち
urticaria_cholinergic,コリン性蕁麻疹,運動誘発じんましん;cholinergic urticaria,蕁麻疹/そう痒,発汗や運動で小膨疹が出る,運動;発汗;小膨疹;チクチク,運動/入浴誘因の確認;アナフィラキシー様症状の有無,抗ヒスタミン薬,予防的に抗ヒスタミン内服+誘因調整,中等症,経過観察,予防内服で軽減しやすい,完全寛解しにくいことがある,保険適用,保険,2026-02-22,医師レビュー待ち
urticaria_physical,物理性蕁麻疹,圧迫じんましん;physical urticaria,蕁麻疹/そう痒,圧迫/寒冷/日光など物理刺激で出現,圧迫;寒冷;日光;膨疹;再現性,刺激の種類特定;アレルギー性の併存;安全指導,刺激回避と内服,原因刺激回避+抗ヒスタミン内服,軽症,経過観察,原因が明確で対策しやすい,回避が難しい場合がある,保険適用,保険,2026-02-22,医師レビュー待ち
angioedema,血管性浮腫,クインケ浮腫;angioedema,蕁麻疹/そう痒,皮膚深部の腫れが生じる,腫れ;まぶた;唇;喉;呼吸苦,気道症状は緊急;ACE阻害薬/遺伝性の鑑別,抗アレルギー治療,原因評価+抗ヒスタミン±ステロイド;気道症状は救急,重症,緊急対応,重症化前に対応できる,原因により再発/重症化あり,保険適用,保険,2026-02-22,医師レビュー待ち
pruritus_general,皮膚そう痒症,かゆみ症;pruritus,蕁麻疹/そう痒,発疹が乏しいのにかゆみが続く状態,かゆみ;乾燥;夜間;全身,内科疾患(肝腎甲状腺)や薬剤の評価;疥癬除外,保湿と内服,保湿+抗ヒスタミン/鎮痒薬+原因検索,中等症,要専門医紹介,原因検索を組み込める(安全設計),原因が多様で単純化しにくい,保険適用,保険,2026-02-22,医師レビュー待ち
acne,尋常性ざ瘡,ニキビ;acne vulgaris,にきび/毛穴,毛穴の角化と炎症で面皰や膿疱が出る,面皰;赤いブツブツ;膿疱;思春期;皮脂,酒さ/毛嚢炎/接触皮膚炎鑑別;瘢痕リスク評価,外用薬と内服,アダパレン/過酸化ベンゾイル等外用+必要時抗菌薬,中等症,経過観察,標準治療で改善が見込める,継続が必要で自己中断が多い,保険適用,保険,2026-02-22,医師レビュー待ち
rosacea,酒さ,赤ら顔;rosacea,にきび/毛穴,顔面の紅斑やほてりが慢性化する,赤み;ほてり;毛細血管;顔;刺激で悪化,ステロイド乱用/酒さ様皮膚炎鑑別;ニキビとの違い,外用薬と内服,刺激回避+外用(メトロニダゾール等)±内服,中等症,要専門医紹介,誘因管理で再燃を減らせる,慢性で完治より管理が中心,保険適用,保険,2026-02-22,医師レビュー待ち
perioral_derm,酒さ様皮膚炎,ステロイド皮膚炎;perioral dermatitis,にきび/毛穴,ステロイド外用や刺激で口周り中心に発疹,口周り;赤み;小丘疹;ヒリヒリ,ステロイド中止の段階設計;接触皮膚炎鑑別,薬中止と治療,原因外用中止(漸減含む)+外用/内服で炎症管理,中等症,要専門医紹介,原因が明確なら改善しやすい,中止後に一時的悪化が起こり得る,保険適用,保険,2026-02-22,医師レビュー待ち
folliculitis,毛嚢炎,毛包炎;folliculitis,感染症(細菌),毛穴の細菌感染でブツブツができる,毛穴;膿疱;痛み;剃毛;摩擦,ニキビ/酒さ鑑別;糖尿病/免疫低下評価(反復例),抗菌薬治療,局所清潔+外用抗菌薬±内服(重症),軽症,経過観察,治療で改善が早い,再発しやすい場合がある,保険適用,保険,2026-02-22,医師レビュー待ち
furuncle,癤,せつ;boil,感染症(細菌),深い毛包感染で痛いしこり,痛み;腫れ;熱感;膿,蜂窩織炎への進展注意;切開適応の判断,抗菌薬と処置,抗菌薬±切開排膿+局所ケア,中等症,要専門医紹介,適切な処置で速やかに改善,処置が必要で受診負担がある,保険適用,保険,2026-02-22,医師レビュー待ち
carbuncle,癰,よう;carbuncle,感染症(細菌),複数毛包が連なる重症感染,強い痛み;広範囲;膿;発熱,重症化/菌血症リスク;糖尿病評価;早期治療,抗菌薬と処置,内服/点滴抗菌薬+切開排膿(適応),重症,緊急対応,重症感染を見逃しにくくできる,入院や点滴が必要なことがある,保険適用,保険,2026-02-22,医師レビュー待ち
tinea_pedis,足白癬,水虫;tinea pedis,感染症(真菌),足の真菌感染で皮むけやかゆみ,足趾間;皮むけ;かゆみ;水疱,湿疹/汗疱との鑑別;家族内感染の指導,抗真菌薬,抗真菌外用+足の環境改善(乾燥),軽症,経過観察,治癒が見込める,塗布期間が長く中断しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
tinea_unguium,爪白癬,爪水虫;onychomycosis,感染症(真菌),爪が濁り厚くなる真菌感染,爪の変形;黄白色;肥厚,外用で不十分な例が多い;肝機能/併用薬チェック(内服時),内服抗真菌薬,内服抗真菌薬(適応確認)+フットケア,中等症,要専門医紹介,根治が期待できる,治療期間が数ヶ月と長い,保険適用,保険,2026-02-22,医師レビュー待ち
tinea_corporis,体部白癬,ぜにたむし;tinea corporis,感染症(真菌),体にリング状の発疹ができる,環状紅斑;かゆみ;体幹;辺縁優位,湿疹との鑑別;ステロイドで悪化(異型白癬)注意,抗真菌薬,抗真菌外用+広がる/多発は内服検討,軽症,経過観察,治療反応が良い,再感染がありうる,保険適用,保険,2026-02-22,医師レビュー待ち
tinea_cruris,股部白癬,いんきんたむし;tinea cruris,感染症(真菌),股周囲の真菌感染,かゆみ;股;紅斑;鱗屑,カンジダとの鑑別;蒸れ対策,抗真菌薬,抗真菌外用+下着/通気/乾燥,軽症,経過観察,再発要因が管理しやすい,蒸れで再発しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
candidiasis_cut,カンジダ症,カンジダ皮膚炎;cutaneous candidiasis,感染症(真菌),間擦部に紅斑やびらんを起こす,間擦部;じゅくじゅく;赤み;衛生,白癬との鑑別;糖尿病/免疫低下評価(反復例),抗真菌薬,抗真菌外用+乾燥/摩擦軽減,軽症,経過観察,治療で改善が早い,再発例では背景評価が必要,保険適用,保険,2026-02-22,医師レビュー待ち
tinea_versicolor,でん風,癜風;tinea versicolor,感染症(真菌),色の抜け/濃くなる斑が多発する,色むら;細かい鱗屑;体幹;夏,白斑との鑑別;再発しやすい体質の説明,抗真菌薬,抗真菌外用/洗浄剤+再発予防の指導,軽症,経過観察,治療は比較的容易,色調回復に時間がかかる,保険適用,保険,2026-02-22,医師レビュー待ち
herpes_simplex,単純ヘルペス,ヘルペス;HSV,感染症(ウイルス),小水疱と痛みを反復する,水疱;痛み;口唇;再発,帯状疱疹との鑑別;初感染/再発の判断;妊婦/免疫低下注意,抗ウイルス薬,早期に抗ウイルス薬内服/外用(適応),中等症,要専門医紹介,早期治療で軽快しやすい,再発しうる,保険適用,保険,2026-02-22,医師レビュー待ち
herpes_zoster,帯状疱疹,ヘルペスゾスター;zoster,感染症(ウイルス),神経に沿って片側に水疱と痛みが出る,片側;帯状;水疱;神経痛;高齢,発症72時間以内治療が重要;眼/耳/顔面は要注意,抗ウイルス薬,早期抗ウイルス薬内服+疼痛管理,重症,要専門医紹介,後神経痛予防につながる,痛みが長引くことがある,保険適用,保険,2026-02-22,医師レビュー待ち
molluscum,伝染性軟属腫,水いぼ;molluscum contagiosum,感染症(ウイルス),小児に多い光沢丘疹が多発,小丘疹;光沢;小児;接触感染,アトピー合併で増えやすい;自然軽快の説明;掻破で拡大,摘除または経過,経過観察±摘除(疼痛/希望/拡大で判断),軽症,経過観察,自然軽快が多く安全に運用できる,増える/長引くことがある,保険適用,保険,2026-02-22,医師レビュー待ち
wart_common,尋常性疣贅,いぼ;wart;verruca,感染症(ウイルス),HPVによる角化性のいぼ,角化;硬い;手足;点状出血,鑑別:胼胝/鶏眼;治療回数見込みの提示,凍結療法,液体窒素凍結(複数回)+外用/テープ併用,中等症,経過観察,根治が狙える,複数回通院が必要,保険適用,保険,2026-02-22,医師レビュー待ち
hfmd,手足口病,てあしくちびょう;HFMD,感染症(ウイルス),小児の発熱と手足口の発疹,発熱;口内痛;手足発疹;小児,脱水リスク評価;登園/感染対策の説明,対症療法,水分管理+鎮痛;重症兆候は受診,軽症,経過観察,自然軽快が多い,口内痛で食事が取りにくい,保険適用,保険,2026-02-22,医師レビュー待ち
impetigo,とびひ,伝染性膿痂疹;impetigo,感染症(細菌),水疱やびらんが急速に広がる,じゅくじゅく;かさぶた;小児;感染,アトピー合併確認;家庭内感染対策;発熱/全身状態,抗菌薬,洗浄+外用/内服抗菌薬+隔離/タオル分け,中等症,要専門医紹介,適切な治療で早く治りやすい,感染拡大しやすい,保険適用,保険,2026-02-22,医師レビュー待ち
cellulitis,蜂窩織炎,ほうかしきえん;cellulitis,感染症(細菌),皮膚深部の細菌感染で腫れと痛み,腫脹;熱感;疼痛;発熱,敗血症リスク;壊死性筋膜炎鑑別;早期治療,抗菌薬治療,内服/点滴抗菌薬+安静;重症は救急,重症,緊急対応,重症感染の安全導線を作れる,入院が必要な場合がある,保険適用,保険,2026-02-22,医師レビュー待ち
erysipelas,丹毒,たんどく;erysipelas,感染症(細菌),境界明瞭な赤みと発熱を伴うことがある感染症,境界明瞭;赤み;発熱;顔/下肢,蜂窩織炎との区別;再発要因(リンパ浮腫)評価,抗菌薬,抗菌薬内服/点滴+安静,中等症,要専門医紹介,治療で改善しやすい,再発例では背景因子が重要,保険適用,保険,2026-02-22,医師レビュー待ち
